Name,Origin,#samples,#variables,#outliers,%outliers,#removed duplicates
aloi,Goldstein,49533,27,1507,(3.04%),466
annthyroid,ODDS,7062,6,534,(7.56%),138
arrhythmia,ODDS,452,274,66,(14.6%),0
breast-cancer,Goldstein,366,30,9,(2.46%),0
cardio,ODDS,1822,21,175,(9.6%),9
cover,ODDS,286048,10,2747,(0.96%),0
glass,ODDS,213,9,9,(4.23%),1
hepatitis,ELKI,80,19,13,(16.25%),0
http,ODDS,221900,3,72,(0.03%),345598
internetads,ELKI,1966,1555,368,(18.72%),0
ionosphere,ODDS,350,33,125,(35.71%),1
letter,ODDS,1598,32,100,(6.26%),2
mammography,ODDS,7848,6,253,(3.22%),3335
mnist,ODDS,7603,100,700,(9.21%),0
musk,ODDS,3062,166,97,(3.17%),0
optdigits,ODDS,5198,64,132,(2.54%),18
pageblocks,ELKI,5393,10,510,(9.46%),0
parkinson,ELKI,195,22,147,(75.38%),0
pen-global,Goldstein,808,16,90,(11.14%),0
pen-local,Goldstein,6723,16,10,(0.15%),0
pendigits,ODDS,6870,16,156,(2.27%),0
pima,ODDS,768,8,268,(34.9%),0
satellite,ODDS,6435,36,2036,(31.64%),0
satimage-2,ODDS,5801,36,69,(1.19%),2
seismic-bumps,ODDS,2578,24,170,(6.59%),6
shuttle,ODDS,49097,9,3511,(7.15%),0
smtp,ODDS,71230,3,21,(0.03%),23926
spambase,GAAL,4206,57,1678,(39.9%),0
speech,ODDS,3686,400,61,(1.65%),0
stamps,ELKI,340,9,31,(9.12%),0
thyroid,ODDS,3656,6,93,(2.54%),116
vertebral,ODDS,240,6,30,(12.5%),0
vowels,ODDS,1452,12,46,(3.17%),4
waveform,GAAL,3442,21,99,(2.88%),0
wbc,ODDS,377,30,20,(5.31%),1
wilt,ELKI,4819,5,257,(5.33%),0
wine,ODDS,129,13,10,(7.75%),0
